"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"53","209","256","0.81640625","1544","1544","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"54","158","256","0.6171875","1.2","1.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"55","192","256","0.75","41","41","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"56","202","256","0.7890625","68","68","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"57","208","256","0.8125","55","55","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"58","230","256","0.8984375","87","87","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"59","190","256","0.7421875","29","29","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"60","208","256","0.8125","85","85","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"61","208","256","0.8125","46","46","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",47.918792,-5.047935,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",5.42280986338558e-10
"62","170","256","0.6640625","162.2","162.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"63","175","256","0.68359375","68","68","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"64","191","256","0.74609375","318.6","318.6","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"65","ND","256","ND","1066.7","1066.7","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"66","ND","256","ND","2271.6","2271.6","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"67","203","256","0.79296875","468.1","468.1","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"68","195","256","0.76171875","519","519","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"69","197","256","0.76953125","981","981","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"70","200","256","0.78125","172.7","172.7","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"71","203","256","0.79296875","1034.7","1034.7","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"72","185","256","0.72265625","761.9","761.9","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"73","206","256","0.8046875","384.1","384.1","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"74","183","256","0.71484375","481","481","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1993","10.1016/0025-326X(93)90572-2","n",6.06072499746681e-10
"75","600","1800","0.3333333333","0.01","0.01","ND","ND","Physeter macrocephalus","Physeter","Physeteridae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.4,"","Augier et al 1998","10.1080/02772249809358609","n",6.06072499746681e-10
"76","305","330","0.9242424242","64.14","64.14","ND","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1998","10.1080/02772249809358609","n",6.06072499746681e-10
"77","208","330","0.6303030303","1.57","1.57","ND","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 1998","10.1080/02772249809358609","n",6.06072499746681e-10
"78","213","256","0.83203125","20.8","20.8","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"79","210","256","0.8203125","329.6","329.6","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"80","206","256","0.8046875","378.4","378.4","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
